sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.9311;1.5474;8.4527;-0.0398;0.4333;9.797;-0.4549;-0.2332;-0.2879;-0.0349;0.8053;1.1401;3.0;-27.77;13.23;-9.48;65.84;3.24;-1.94;5.0;61.241;;;;NaN;;;;0 / 0;20567;2021-03-12 21:37:57:945
1.656;3.3871;6.0525;0.1917;4.655;8.6293;1.3539;-1.5592;-2.4439;0.2127;-0.1622;-0.1227;2.1;-15.33;12.21;-23.42;43.14;-16.03;3.8;5.0;56.144;;;;NaN;;;;0 / 0;21066;2021-03-12 21:37:58:444
-0.3226;0.2011;10.7859;0.908;1.3506;9.6707;-0.7716;-0.9803;1.6391;-0.7135;0.2437;-2.4532;2.4;-40.4;-5.34;-8.84;94.7;-7.92;-5.36;5.0;60.395;;;;NaN;;;;0 / 0;21567;2021-03-12 21:37:58:945
0.2283;-1.1116;8.2419;-0.9687;-1.0503;9.702;0.243;-0.3336;-0.022;-0.3054;-0.5508;-0.9201;2.7;-38.18;-21.95;-15.07;118.67;-2.01;7.01;5.0;57.75;;;;NaN;;;;0 / 0;22067;2021-03-12 21:37:59:445
1.3638;-4.0149;9.3678;-0.2824;-1.9397;9.6088;0.4491;0.7542;2.708;1.2163;0.2013;-0.5993;2.8;-34.28;-27.72;-16.71;133.43;21.15;0.12;5.0;61.801;;;;NaN;;;;0 / 0;22568;2021-03-12 21:37:59:946
-0.6149;2.5966;10.235;-1.4148;2.1543;9.4619;1.0782;1.7717;0.5586;-0.4368;0.3396;-0.4252;2.4;-31.98;-36.53;-10.4;134.95;-20.04;9.24;5.0;58.463;;;;NaN;;;;0 / 0;23069;2021-03-12 21:38:00:447
-0.9503;4.5657;6.4789;-0.5766;4.5408;8.6729;0.0667;0.5588;-2.7044;-1.9626;-0.2926;-0.4759;1.5;-25.78;-43.83;0.87;147.27;-27.58;3.8;5.0;57.765;;;;NaN;;;;0 / 0;23567;2021-03-12 21:38:00:945
0.3145;1.7486;10.1487;-0.7922;1.01;9.7223;0.4195;0.7573;0.3918;0.7878;-0.6845;-0.5927;2.7;-19.18;-44.35;-11.28;154.82;-4.01;8.11;5.0;58.565;;;;NaN;;;;0 / 0;24068;2021-03-12 21:38:01:446
0.1421;-0.0193;10.1871;-0.3564;0.9961;9.7494;1.0823;0.1619;-0.3556;-0.9723;0.3768;-0.7681;3.0;-3.62;-46.11;-12.13;174.68;-12.56;-0.3;5.0;58.968;;;;NaN;;;;0 / 0;24567;2021-03-12 21:38:01:945
-1.918;3.7991;8.7833;-1.2069;1.9322;9.5384;1.0206;1.0687;-0.9124;1.7215;0.857;0.2707;2.7;1.64;-47.67;-4.49;182.14;-1.06;2.93;5.0;55.983;;;;NaN;;;;0 / 0;25067;2021-03-12 21:38:02:445
-0.3658;2.2948;7.2167;-0.6941;3.6787;9.064;0.634;-3.599;-0.3255;3.2678;-0.4342;0.5728;2.1;-14.77;-49.3;1.29;162.16;-22.03;4.38;5.0;64.547;;;;NaN;;;;0 / 0;25568;2021-03-12 21:38:02:946
-3.2356;-1.4278;11.2506;-0.7168;-2.0101;9.5716;1.5955;1.22;2.3251;-3.4535;-0.1822;-1.4445;4.2;-3.09;-40.87;-20.93;174.13;11.83;4.28;5.0;69.712;;;;NaN;;;;0 / 0;26067;2021-03-12 21:38:03:445
2.4944;-3.0998;10.647;0.1684;-0.4728;9.7938;0.0979;-0.7354;0.1832;-1.0664;-0.4138;1.5051;2.7;-4.63;-44.43;-18.91;171.4;-20.47;0.7;5.0;59.884;;;;NaN;;;;0 / 0;26567;2021-03-12 21:38:03:945
2.0632;5.2412;9.4588;0.672;4.8482;8.4978;0.7884;0.6074;-1.8732;-0.202;0.1867;0.7809;2.1;-18.05;-51.09;-1.71;156.61;-32.85;-1.88;5.0;57.446;;;;NaN;;;;0 / 0;27066;2021-03-12 21:38:04:444
-1.2808;2.1798;7.4897;-0.7919;3.666;9.0611;0.1695;-1.5025;-0.9107;2.2788;0.1666;-0.7525;3.0;-10.77;-52.27;-4.46;166.5;-21.95;4.99;5.0;52.151;;;;NaN;;;;0 / 0;27567;2021-03-12 21:38:04:945
-1.324;2.8745;7.7197;-0.6583;1.8249;9.6128;-0.5711;-1.1725;-0.4975;1.5878;-0.1086;-0.5176;3.0;-7.24;-50.95;-8.41;171.85;1.45;2.41;5.0;55.934;;;;NaN;;;;0 / 0;28067;2021-03-12 21:38:05:445
-1.1611;2.1798;9.2576;-0.2661;1.6689;9.6599;-0.5191;-0.6583;1.2355;1.6079;-0.5494;-1.4886;3.3;6.59;-48.14;-10.71;186.44;2.18;7.67;5.0;58.774;;;;NaN;;;;0 / 0;28567;2021-03-12 21:38:05:945
-0.3897;-0.2732;10.5128;-0.9531;-0.0914;9.7598;1.1347;0.1234;0.8185;0.1485;0.2714;0.4276;3.9;13.39;-43.73;-14.98;194.58;0.53;5.58;5.0;53.795;;;;NaN;;;;0 / 0;29067;2021-03-12 21:38:06:445
0.3385;0.0909;10.1535;-0.9529;1.0416;9.7045;1.5238;0.5594;3.4129;-1.0599;0.1532;1.8921;3.3;-0.65;-50.65;-13.13;177.37;-6.1;5.61;5.0;52.564;;;;NaN;;;;0 / 0;29567;2021-03-12 21:38:06:945
-1.2233;1.3653;8.6683;-1.437;1.8571;9.5214;-8.0E-4;-0.1423;0.7673;0.0932;-0.5949;-0.359;3.6;-2.79;-52.63;-7.0;175.95;-15.52;4.06;5.0;55.707;;;;NaN;;;;0 / 0;30067;2021-03-12 21:38:07:445
-1.645;1.6624;11.0494;-0.5081;2.3898;9.4974;-0.3008;-1.5239;0.1182;0.8067;-0.3502;-2.2783;3.0;25.61;-30.02;-8.09;221.96;-7.84;2.68;5.0;53.764;;;;NaN;;;;0 / 0;30567;2021-03-12 21:38:07:945
